OBJECTID,ctry11cd,ctry11cdo,ctry11nm,ctry11nmw,Shape__Area,Shape__Length
1,E92000001,921,England,Lloegr,130432201081.845,10768030.0915819
2,W92000004,924,Wales,Cymru,20780212005.0049,3077408.68172652
